h,m,s,RA,d,arc m,arc s,DEC,F60,h,m,s,d,arc m,arc s,F100,T,"B(V,T)",M,
12,38,44.87,189.6869583,-41,22,11,-40.63027778,1.7141,12,38,44.87,-41,22,11,7.2577,24.01619333,9.94622E-16,4.15763E+26,0.041576275
12,38,44.83,189.6867917,-41,23,33.8,-40.60727778,1.7857,12,38,44.83,-41,23,33.8,7.5923,23.99128997,9.88439E-16,4.37651E+26,0.043765111
12,38,44.16,189.684,-41,25,3.7,-40.58230556,1.8295,12,38,44.16,-41,25,3.7,7.6349,24.10355336,1.01652E-15,4.27951E+26,0.042795081
12,38,41.33,189.6722083,-41,10,10.8,-40.83033333,1.8473,12,38,41.33,-41,10,10.8,7.536,24.24184548,1.05183E-15,4.08226E+26,0.040822594
12,38,40.65,189.669375,-41,11,37.2,-40.80633333,1.6623,12,38,40.65,-41,11,37.2,7.1479,23.92377562,9.71807E-16,4.19086E+26,0.041908599
12,38,40.3,189.6679167,-41,13,3.5,-40.78236111,1.5689,12,38,40.3,-41,13,3.5,6.8837,23.80415323,9.428E-16,4.16013E+26,0.041601284
12,38,39.3,189.66375,-41,14,37.1,-40.75636111,1.5606,12,38,39.3,-41,14,37.1,6.8028,23.84268567,9.52079E-16,4.07117E+26,0.040711686
12,38,38.94,189.66225,-41,16,17.9,-40.72836111,1.6199,12,38,38.94,-41,16,17.9,6.9676,23.92204683,9.71383E-16,4.08693E+26,0.040869295
12,38,38.59,189.6607917,-41,17,37,-40.70638889,1.5799,12,38,38.59,-41,17,37,7.1055,23.65909785,9.08415E-16,4.45671E+26,0.044567142
12,38,37.91,189.6579583,-41,19,7,-40.68138889,1.6168,12,38,37.91,-41,19,7,7.2581,23.66982185,9.10928E-16,4.53987E+26,0.045398706
12,38,37.23,189.655125,-41,20,40.6,-40.65538889,1.692,12,38,37.23,-41,20,40.6,7.2996,23.90416575,9.67011E-16,4.30103E+26,0.043010267
12,38,36.87,189.653625,-41,22,10.6,-40.63038889,1.7678,12,38,36.87,-41,22,10.6,7.4723,24.02645834,9.97178E-16,4.26959E+26,0.042695904
12,38,33.04,189.6376667,-41,10,6.7,-40.83147222,1.8151,12,38,33.04,-41,10,6.7,7.5743,24.10395739,1.01662E-15,4.24511E+26,0.042451147
12,38,32.68,189.6361667,-41,11,33.1,-40.80747222,1.7283,12,38,32.68,-41,11,33.1,7.3494,23.9903527,9.88207E-16,4.23749E+26,0.042374891
12,38,32.32,189.6346667,-41,13,3.1,-40.78247222,1.6446,12,38,32.32,-41,13,3.1,7.0066,23.97911726,9.85426E-16,4.05124E+26,0.04051238
12,38,31.32,189.6305,-41,14,33,-40.7575,1.6732,12,38,31.32,-41,14,33,7.1477,23.96297251,9.8144E-16,4.14961E+26,0.041496089
12,38,30.96,189.629,-41,16,3,-40.7325,1.6734,12,38,30.96,-41,16,3,7.211,23.91106118,9.68695E-16,4.24143E+26,0.042414342
12,38,30.29,189.6262083,-41,17,29.4,-40.7085,1.682,12,38,30.29,-41,17,29.4,7.2463,23.91250682,9.69049E-16,4.26064E+26,0.042606429
12,38,29.61,189.623375,-41,18,55.7,-40.68452778,1.6808,12,38,29.61,-41,18,55.7,7.3983,23.78528728,9.38279E-16,4.49267E+26,0.044926672
12,38,29.24,189.6218333,-41,20,36.5,-40.65652778,1.7689,12,38,29.24,-41,20,36.5,7.6276,23.9071001,9.67728E-16,4.49096E+26,0.04490961
12,38,24.71,189.6029583,-41,11,32.7,-40.80758333,1.777,12,38,24.71,-41,11,32.7,7.5999,23.95606064,9.79736E-16,4.41981E+26,0.044198051
12,38,23.71,189.5987917,-41,12,48.2,-40.78661111,1.769,12,38,23.71,-41,12,48.2,7.4572,24.04271361,1.00123E-15,4.2437E+26,0.042436985
